IPA Segment,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,tense,long
βʲ,-,-,+,+,-,-,-,0,+,-,-,+,-,0,+,+,-,-,-,0,-
θʲ,-,-,+,+,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,0,-
ɧʲ,-,-,+,+,+,-,-,0,-,-,-,-,+,+,-,+,-,-,-,0,-
ɕʲ,-,-,+,+,+,-,-,+,-,-,-,+,+,+,-,+,-,-,-,0,-
ɬʲ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,+,0,-,-,0,-
ɬ̪ʲ,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,+,0,-,-,0,-
ɮʲ,-,-,+,+,+,+,-,-,+,-,-,+,+,-,-,+,0,-,-,0,-
ʑʲ,-,-,+,+,+,-,-,+,+,-,-,+,+,+,-,+,-,-,-,0,-
ɱʲ,-,+,+,-,0,-,+,0,+,-,-,+,-,0,+,+,0,-,-,0,-
ʔʲ,-,+,-,-,-,-,-,0,-,-,+,-,-,0,-,+,-,-,-,0,-
ŋʲ,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,+,-,-,-,0,-
ɳʲ,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,+,-,-,-,0,-
ɴʲ,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,+,-,-,-,0,-
mʲ,-,+,+,-,-,-,+,0,+,-,-,+,-,0,+,+,-,-,-,0,-
nʲ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,+,-,-,-,0,-
n̪ʲ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,+,-,-,-,0,-
ɲʲ,-,+,+,-,-,-,+,-,+,-,-,+,-,0,-,+,-,-,-,0,-
ɥʲ,-,+,-,+,0,-,-,0,+,-,-,0,-,0,+,+,-,-,+,+,-
ɰʲ,-,+,-,+,0,-,-,0,+,-,-,0,-,0,-,+,-,-,-,+,-
ʋʲ,-,+,-,+,0,-,-,0,+,-,-,+,-,0,+,+,0,-,-,0,-
ʀʲ,-,+,+,+,0,-,-,0,+,-,-,0,-,0,-,+,-,-,-,0,-
ʙʲ,-,+,+,+,0,-,-,0,+,-,-,+,-,0,+,+,0,-,-,0,-
ʟʲ,-,+,+,+,0,+,-,0,+,-,-,0,-,0,-,+,-,-,-,0,-
ɭʲ,-,+,+,+,0,+,-,-,+,-,-,-,+,-,-,+,0,-,-,0,-
ɽʲ,-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,+,0,-,-,0,-
ʎʲ,-,+,+,+,0,+,-,0,+,-,-,-,+,+,-,+,-,-,-,0,-
rʲ,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,0,-,-,0,-
r̪ʲ,-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,+,0,-,-,0,-
ɫʲ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,+,-,-,-,0,-
ɺʲ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,+,0,-,-,0,-
ɾʲ,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,0,-,-,0,-
ʍʲ,-,+,-,+,-,-,-,0,-,-,-,-,-,0,+,+,-,-,+,0,-
hʲ,-,+,+,+,-,-,-,-,-,-,-,-,-,0,-,+,-,-,-,0,-
jʲ,-,+,-,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
wʲ,-,+,-,+,-,-,-,0,+,-,-,-,-,0,+,+,-,-,+,0,-
ɹʲ,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,-,-,+,0,-
ɻʲ,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,0,-
lʲ,-,+,+,+,-,+,-,-,+,-,-,+,+,-,-,+,-,-,-,0,-
l̪ʲ,-,+,+,+,-,+,-,-,+,-,-,+,+,+,-,+,-,-,-,0,-
ɦʲ,-,+,+,+,-,-,+,0,-,-,-,-,-,0,-,+,-,-,-,0,-
cᶣ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,-,+,0,-
ɡᶣ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,-,+,0,-
kᶣ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,-,+,0,-
qᶣ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,-,+,0,-
ɖᶣ,-,-,+,-,-,-,-,0,+,-,-,-,+,-,-,+,-,-,+,0,-
ɟᶣ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,-,+,0,-
ɠᶣ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,-,+,0,-
ɢᶣ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,-,+,0,-
ʄᶣ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,-,+,0,-
ʈᶣ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,0,-
ʛᶣ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,-,+,0,-
dᶣ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,+,0,-
d̪ᶣ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,-,-,+,0,-
tᶣ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,0,-
t̪ᶣ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,0,-
ɗᶣ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,+,-,-,+,0,-
k͡xᶣ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,+,-,-,+,0,-
q͡χᶣ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,+,-,-,+,0,-
ɡ͡ɣᶣ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,+,-,-,+,0,-
ɢ͡ʁᶣ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,+,-,-,+,0,-
c͡çᶣ,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,+,0,-
d͡ʒᶣ,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,+,-,-,+,0,-
t͡ʃᶣ,-,-,+,-,+,-,-,+,-,-,-,-,+,+,-,+,-,-,+,0,-
ɖ͡ʐᶣ,-,-,+,-,+,-,-,+,+,-,-,-,+,-,-,+,0,-,+,0,-
ɟ͡ʝᶣ,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,+,-,-,+,0,-
ʈ͡ʂᶣ,-,-,+,-,+,-,-,+,-,-,-,-,+,-,-,+,0,-,+,0,-
d̪͡z̪ᶣ,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,0,-,+,0,-
d̪͡ðᶣ,-,-,+,-,+,-,-,-,+,-,-,+,+,+,-,+,0,-,+,0,-
d̪͡ɮ̪ᶣ,-,-,+,-,+,+,-,-,+,-,-,+,+,+,-,+,0,-,+,0,-
d͡zᶣ,-,-,+,-,+,-,-,+,+,-,-,+,+,-,-,+,-,-,+,0,-
d͡ɮᶣ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,+,0,-,+,0,-
d͡ʑᶣ,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,-,-,+,0,-
t̪͡s̪ᶣ,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,0,-,+,0,-
t̪͡ɬ̪ᶣ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,+,0,-,+,0,-
t̪͡θᶣ,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,+,0,-,+,0,-
t͡sᶣ,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,+,-,-,+,0,-
t͡ɕᶣ,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,-,-,+,0,-
t͡ɬᶣ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,0,-,+,0,-
xᶣ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,-,+,0,-
çᶣ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,-,+,0,-
ħᶣ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,+,-,+,0,-
ɣᶣ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,+,0,-
ʁᶣ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,+,0,-
ʂᶣ,-,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,-,+,0,-
ʃᶣ,-,-,+,+,-,-,-,+,-,-,-,-,+,+,-,+,-,-,+,0,-
ʐᶣ,-,-,+,+,-,-,-,+,+,-,-,-,+,-,-,+,-,-,+,0,-
ʒᶣ,-,-,+,+,-,-,-,+,+,-,-,-,+,+,-,+,-,-,+,0,-
ʕᶣ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,+,-,+,0,-
ʝᶣ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,+,0,-
χᶣ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,-,+,0,-
sᶣ,-,-,+,+,-,-,-,+,-,-,-,+,+,-,-,+,-,-,+,0,-
s̪ᶣ,-,-,+,+,-,-,-,+,-,-,-,+,+,+,-,+,-,-,+,0,-
zᶣ,-,-,+,+,-,-,-,+,+,-,-,+,+,-,-,+,-,-,+,0,-
z̪ᶣ,-,-,+,+,-,-,-,+,+,-,-,+,+,+,-,+,-,-,+,0,-
ðᶣ,-,-,+,+,-,-,-,-,+,-,-,+,+,+,-,+,-,-,+,0,-
θᶣ,-,-,+,+,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,0,-
ɧᶣ,-,-,+,+,+,-,-,0,-,-,-,-,+,+,-,+,-,-,+,0,-
ɕᶣ,-,-,+,+,+,-,-,+,-,-,-,+,+,+,-,+,-,-,+,0,-
ɬᶣ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,+,0,-,+,0,-
ɬ̪ᶣ,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,+,0,-,+,0,-
ɮᶣ,-,-,+,+,+,+,-,-,+,-,-,+,+,-,-,+,0,-,+,0,-
ʑᶣ,-,-,+,+,+,-,-,+,+,-,-,+,+,+,-,+,-,-,+,0,-
ʔᶣ,-,+,-,-,-,-,-,0,-,-,+,-,-,0,-,+,-,-,+,0,-
ŋᶣ,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,+,-,-,+,0,-
ɳᶣ,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,+,-,-,+,0,-
ɴᶣ,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,+,-,-,+,0,-
nᶣ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,0,-
n̪ᶣ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,+,-,-,+,0,-
ɲᶣ,-,+,+,-,-,-,+,-,+,-,-,+,-,0,-,+,-,-,+,0,-
ɰᶣ,-,+,-,+,0,-,-,0,+,-,-,0,-,0,-,+,-,-,+,+,-
ʀᶣ,-,+,+,+,0,-,-,0,+,-,-,0,-,0,-,+,-,-,+,0,-
ʟᶣ,-,+,+,+,0,+,-,0,+,-,-,0,-,0,-,+,-,-,+,0,-
ɭᶣ,-,+,+,+,0,+,-,-,+,-,-,-,+,-,-,+,0,-,+,0,-
ɽᶣ,-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,+,0,-,+,0,-
ʎᶣ,-,+,+,+,0,+,-,0,+,-,-,-,+,+,-,+,-,-,+,0,-
rᶣ,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,0,-,+,0,-
r̪ᶣ,-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,+,0,-,+,0,-
ɫᶣ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,+,-,-,+,0,-
ɺᶣ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,+,0,-,+,0,-
ɾᶣ,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,0,-,+,0,-
hᶣ,-,+,+,+,-,-,-,-,-,-,-,-,-,0,-,+,-,-,+,0,-
jᶣ,-,+,-,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,+,0,-
ɹᶣ,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,-,-,+,0,-
ɻᶣ,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,-,-,+,0,-
lᶣ,-,+,+,+,-,+,-,-,+,-,-,+,+,-,-,+,-,-,+,0,-
l̪ᶣ,-,+,+,+,-,+,-,-,+,-,-,+,+,+,-,+,-,-,+,0,-
ɦᶣ,-,+,+,+,-,-,+,0,-,-,-,-,-,0,-,+,-,-,+,0,-
k͡pˠ,-,-,+,-,-,-,-,0,-,-,-,0,-,0,+,+,-,+,-,0,-
ɡ͡bˠ,-,-,+,-,-,-,-,0,+,-,-,0,-,0,+,+,-,+,-,0,-
cˠ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,+,-,0,-
qˠ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,+,-,0,-
ɖˠ,-,-,+,-,-,-,-,0,+,-,-,-,+,-,-,+,-,+,-,0,-
ɟˠ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,+,-,0,-
ɠˠ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,+,-,0,-
ɢˠ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,+,-,0,-
ʄˠ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,+,-,0,-
ʈˠ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,0,-
ʛˠ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,+,-,0,-
bˠ,-,-,+,-,-,-,-,0,+,-,-,+,-,0,+,+,-,+,-,0,-
b͡dˠ,-,-,+,-,-,-,-,0,+,-,-,+,+,-,+,+,-,+,-,0,-
dˠ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,0,-
d̪ˠ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,+,-,+,-,0,-
pˠ,-,-,+,-,-,-,-,0,-,-,-,+,-,0,+,+,-,+,-,0,-
p͡tˠ,-,-,+,-,-,-,-,0,-,-,-,+,+,-,+,+,-,+,-,0,-
tˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,0,-
t̪ˠ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,0,-
ɓˠ,-,-,+,-,-,-,-,0,+,-,+,+,-,0,+,+,-,+,-,0,-
ɗˠ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,+,-,+,-,0,-
b͡βˠ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,+,+,0,+,-,0,-
k͡xˠ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,+,-,+,-,0,-
p͡ɸˠ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,+,+,0,+,-,0,-
q͡χˠ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,+,-,+,-,0,-
ɡ͡ɣˠ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,+,-,+,-,0,-
ɢ͡ʁˠ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,+,-,+,-,0,-
c͡çˠ,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,-,+,-,0,-
d͡ʒˠ,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,+,-,+,-,0,-
t͡ʃˠ,-,-,+,-,+,-,-,+,-,-,-,-,+,+,-,+,-,+,-,0,-
ɖ͡ʐˠ,-,-,+,-,+,-,-,+,+,-,-,-,+,-,-,+,0,+,-,0,-
ɟ͡ʝˠ,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,+,-,+,-,0,-
ʈ͡ʂˠ,-,-,+,-,+,-,-,+,-,-,-,-,+,-,-,+,0,+,-,0,-
b͡vˠ,-,-,+,-,+,-,-,0,+,-,-,+,-,0,+,+,-,+,-,0,-
d̪͡z̪ˠ,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,0,+,-,0,-
d̪͡ðˠ,-,-,+,-,+,-,-,-,+,-,-,+,+,+,-,+,0,+,-,0,-
d̪͡ɮ̪ˠ,-,-,+,-,+,+,-,-,+,-,-,+,+,+,-,+,0,+,-,0,-
d͡zˠ,-,-,+,-,+,-,-,+,+,-,-,+,+,-,-,+,-,+,-,0,-
d͡ɮˠ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,+,0,+,-,0,-
d͡ʑˠ,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,-,+,-,0,-
p͡fˠ,-,-,+,-,+,-,-,0,-,-,-,+,-,0,+,+,-,+,-,0,-
t̪͡s̪ˠ,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,0,+,-,0,-
t̪͡ɬ̪ˠ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,+,0,+,-,0,-
t̪͡θˠ,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,+,0,+,-,0,-
t͡sˠ,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,+,-,+,-,0,-
t͡ɕˠ,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,-,+,-,0,-
t͡ɬˠ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,+,0,+,-,0,-
çˠ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,+,-,0,-
ħˠ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,+,+,-,0,-
ʁˠ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,+,-,0,-
ʂˠ,-,-,+,+,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,0,-
ʃˠ,-,-,+,+,-,-,-,+,-,-,-,-,+,+,-,+,-,+,-,0,-
ʐˠ,-,-,+,+,-,-,-,+,+,-,-,-,+,-,-,+,-,+,-,0,-
ʒˠ,-,-,+,+,-,-,-,+,+,-,-,-,+,+,-,+,-,+,-,0,-
ʕˠ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,+,+,-,0,-
ʝˠ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,+,-,0,-
χˠ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,+,-,0,-
fˠ,-,-,+,+,-,-,-,0,-,-,-,+,-,0,+,+,-,+,-,0,-
sˠ,-,-,+,+,-,-,-,+,-,-,-,+,+,-,-,+,-,+,-,0,-
s̪ˠ,-,-,+,+,-,-,-,+,-,-,-,+,+,+,-,+,-,+,-,0,-
vˠ,-,-,+,+,-,-,-,0,+,-,-,+,-,0,+,+,-,+,-,0,-
zˠ,-,-,+,+,-,-,-,+,+,-,-,+,+,-,-,+,-,+,-,0,-
z̪ˠ,-,-,+,+,-,-,-,+,+,-,-,+,+,+,-,+,-,+,-,0,-
ðˠ,-,-,+,+,-,-,-,-,+,-,-,+,+,+,-,+,-,+,-,0,-
ɸˠ,-,-,+,+,-,-,-,0,-,-,-,+,-,0,+,+,-,+,-,0,-
βˠ,-,-,+,+,-,-,-,0,+,-,-,+,-,0,+,+,-,+,-,0,-
θˠ,-,-,+,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,0,-
ɧˠ,-,-,+,+,+,-,-,0,-,-,-,-,+,+,-,+,-,+,-,0,-
ɕˠ,-,-,+,+,+,-,-,+,-,-,-,+,+,+,-,+,-,+,-,0,-
ɬˠ,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,+,0,+,-,0,-
ɬ̪ˠ,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,+,0,+,-,0,-
ɮˠ,-,-,+,+,+,+,-,-,+,-,-,+,+,-,-,+,0,+,-,0,-
ʑˠ,-,-,+,+,+,-,-,+,+,-,-,+,+,+,-,+,-,+,-,0,-
ɱˠ,-,+,+,-,0,-,+,0,+,-,-,+,-,0,+,+,0,+,-,0,-
ʔˠ,-,+,-,-,-,-,-,0,-,-,+,-,-,0,-,+,-,+,-,0,-
ɳˠ,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,+,-,+,-,0,-
ɴˠ,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,+,-,+,-,0,-
mˠ,-,+,+,-,-,-,+,0,+,-,-,+,-,0,+,+,-,+,-,0,-
nˠ,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,+,-,+,-,0,-
n̪ˠ,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,+,-,+,-,0,-
ɲˠ,-,+,+,-,-,-,+,-,+,-,-,+,-,0,-,+,-,+,-,0,-
ɥˠ,-,+,-,+,0,-,-,0,+,-,-,0,-,0,+,+,-,+,+,+,-
ʋˠ,-,+,-,+,0,-,-,0,+,-,-,+,-,0,+,+,0,+,-,0,-
ʀˠ,-,+,+,+,0,-,-,0,+,-,-,0,-,0,-,+,-,+,-,0,-
ʙˠ,-,+,+,+,0,-,-,0,+,-,-,+,-,0,+,+,0,+,-,0,-
ɭˠ,-,+,+,+,0,+,-,-,+,-,-,-,+,-,-,+,0,+,-,0,-
ɽˠ,-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,+,0,+,-,0,-
ʎˠ,-,+,+,+,0,+,-,0,+,-,-,-,+,+,-,+,-,+,-,0,-
rˠ,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,0,+,-,0,-
r̪ˠ,-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,+,0,+,-,0,-
ɫˠ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,+,-,+,-,0,-
ɺˠ,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,+,0,+,-,0,-
ɾˠ,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,+,0,+,-,0,-
ʍˠ,-,+,-,+,-,-,-,0,-,-,-,-,-,0,+,+,-,+,+,0,-
hˠ,-,+,+,+,-,-,-,-,-,-,-,-,-,0,-,+,-,+,-,0,-
jˠ,-,+,-,+,-,-,-,0,+,-,-,-,-,0,-,+,-,+,-,0,-
wˠ,-,+,-,+,-,-,-,0,+,-,-,-,-,0,+,+,-,+,+,0,-
ɹˠ,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,-,+,+,0,-
ɻˠ,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,-,+,-,0,-
lˠ,-,+,+,+,-,+,-,-,+,-,-,+,+,-,-,+,-,+,-,0,-
l̪ˠ,-,+,+,+,-,+,-,-,+,-,-,+,+,+,-,+,-,+,-,0,-
ɦˠ,-,+,+,+,-,-,+,0,-,-,-,-,-,0,-,+,-,+,-,0,-
k͡pˤ,-,-,+,-,-,-,-,0,-,-,-,0,-,0,+,+,+,+,-,0,-
ɡ͡bˤ,-,-,+,-,-,-,-,0,+,-,-,0,-,0,+,+,+,+,-,0,-
cˤ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,+,+,-,0,-
ɡˤ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,+,+,-,0,-
kˤ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,+,+,-,0,-
qˤ,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,-,+,+,-,0,-
ɖˤ,-,-,+,-,-,-,-,0,+,-,-,-,+,-,-,-,+,+,-,0,-
ɟˤ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,+,+,-,0,-
ɠˤ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,+,+,-,0,-
ɢˤ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,-,+,+,-,0,-
ʄˤ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,+,+,-,0,-
ʈˤ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,-,0,-
ʛˤ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,-,+,+,-,0,-
bˤ,-,-,+,-,-,-,-,0,+,-,-,+,-,0,+,-,+,+,-,0,-
b͡dˤ,-,-,+,-,-,-,-,0,+,-,-,+,+,-,+,-,+,+,-,0,-
dˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,+,-,0,-
d̪ˤ,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,+,+,-,0,-
pˤ,-,-,+,-,-,-,-,0,-,-,-,+,-,0,+,-,+,+,-,0,-
p͡tˤ,-,-,+,-,-,-,-,0,-,-,-,+,+,-,+,-,+,+,-,0,-
tˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,0,-
t̪ˤ,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,+,+,-,0,-
ɓˤ,-,-,+,-,-,-,-,0,+,-,+,+,-,0,+,-,+,+,-,0,-
ɗˤ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,+,+,-,0,-
b͡βˤ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,+,0,+,+,-,0,-
k͡xˤ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,+,+,+,-,0,-
p͡ɸˤ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,+,0,+,+,-,0,-
q͡χˤ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,-,+,+,-,0,-
ɡ͡ɣˤ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,+,+,+,-,0,-
ɢ͡ʁˤ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,-,+,+,-,0,-
c͡çˤ,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,+,+,-,0,-
d͡ʒˤ,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,-,+,+,-,0,-
t͡ʃˤ,-,-,+,-,+,-,-,+,-,-,-,-,+,+,-,-,+,+,-,0,-
ɖ͡ʐˤ,-,-,+,-,+,-,-,+,+,-,-,-,+,-,-,0,+,+,-,0,-
ɟ͡ʝˤ,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,+,+,+,-,0,-
ʈ͡ʂˤ,-,-,+,-,+,-,-,+,-,-,-,-,+,-,-,0,+,+,-,0,-
b͡vˤ,-,-,+,-,+,-,-,0,+,-,-,+,-,0,+,-,+,+,-,0,-
d̪͡z̪ˤ,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,0,+,+,-,0,-
d̪͡ðˤ,-,-,+,-,+,-,-,-,+,-,-,+,+,+,-,0,+,+,-,0,-
d̪͡ɮ̪ˤ,-,-,+,-,+,+,-,-,+,-,-,+,+,+,-,0,+,+,-,0,-
d͡zˤ,-,-,+,-,+,-,-,+,+,-,-,+,+,-,-,-,+,+,-,0,-
d͡ɮˤ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,0,+,+,-,0,-
d͡ʑˤ,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,+,+,-,0,-
p͡fˤ,-,-,+,-,+,-,-,0,-,-,-,+,-,0,+,-,+,+,-,0,-
t̪͡s̪ˤ,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,0,+,+,-,0,-
t̪͡ɬ̪ˤ,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,0,+,+,-,0,-
t̪͡θˤ,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,0,+,+,-,0,-
t͡sˤ,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,-,+,+,-,0,-
t͡ɕˤ,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,+,+,-,0,-
t͡ɬˤ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,+,+,-,0,-
